Book Id,Title,Sort Character,Primary Author,Primary Author Role,Secondary Author,Secondary Author Roles,Publication,Date,Review,Rating,Comment,Private Comment,Summary,Media,Physical Description,Weight,Height,Thickness,Length,Dimensions,Page Count,LCCN,Acquired,Date Started,Date Read,Barcode,BCID,Tags,Collections,Languages,Original Languages,LC Classification,ISBN,ISBNs,Subjects,Dewey Decimal,Dewey Wording,Other Call Number,Copies,Source,Entry Date,From Where,OCLC,Work id,Lending Patron,Lending Status,Lending Start,Lending End
107162085,Two Scoops of Django: Best Practices For Django 1.6,1,"Greenfeld, Daniel",,"Roy, Audrey",,"Two Scoops Press (2014), Edition: 2, Paperback, 446 pages",2014,,,,,Two Scoops of Django: Best Practices For Django 1.6 by Daniel Greenfeld (2014),Paperback,446 p.; 9.25 inches,2.09 pounds,9.25 inches,1.01 inches,7.5 inches,9.25 x 7.5 x 1.01 inches,446,,,,,,,"non-fiction, programming, python, django, bought for work, bought via Ridecell",Your library,English,English,,[098146730X],"098146730X, 9780981467306",,5.133,"Computer programming, programs, data, security > Computing and Information > General Programming Languages > Information > Languages > Programming",,1,amazon.com,[2014-03-06],,,14812848,,,,
164168257,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,5,"Ries, Eric",Author,,,"Currency (2011), Edition: 1, 336 pages",2011,,,,,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses by Eric Ries (2011),Hardcover,336 p.; 5.77 inches,,5.77 inches,8.54 inches,1.12 inches,5.77 x 1.12 x 8.54 inches,336,,,,,,,"bought for work, bought via CC","Your library, Read",English,English,HD62 .R545,[9780307887894],"9780307887894, 0307887898",,658.1,Management > Management and auxiliary services > Of Corporate Finance > Technology and Application of Knowledge,,1,amazon.com books,[2019-01-06],,,11349390,,,,
171220585,Authentic Conversations: Moving from Manipulation to Truth and Commitment,1,"Showkeir, James",Author,,,"Berrett-Koehler Publishers (2008), Edition: 1, 240 pages",2008,,,,,Authentic Conversations: Moving from Manipulation to Truth and Commitment by James Showkeir (2008),Paperback,240 p.; 5.56 inches,0.65 pounds,5.56 inches,8.5 inches,0.64 inches,5.56 x 0.64 x 8.5 inches,240,,,,,,,"bought for work, bought via CC","Your library, Unread",English,English,HD30 .S553,[9781576755952],"9781576755952, 1576755959",,658.4,Executive > Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,[2019-07-24],,,7848742,,,,
171220665,The Art of Community: Building the New Age of Participation,5,"Bacon, Jono",Author,,,"O'Reilly Media (2012), Edition: Second, 576 pages",2012,,,,,The Art of Community: Building the New Age of Participation by Jono Bacon (2012),Paperback,576 p.; 7 inches,1.95 pounds,7 inches,9.19 inches,1.1 inches,7 x 1.1 x 9.19 inches,576,,,,,,,"bought for work, bought via CC","Your library, Unread",English,English,TK5105 .B33,[0596156715],"0596156715, 9780596156718",,303,Social Processes > Social Sciences > Social sciences,,1,amazon.com books,[2019-07-24],,,8621588,,,,
171220677,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability (3rd Edition)",1,"Krug, Steve",Author,,,"New Riders (2014), Edition: 3, 216 pages",2014,,,,,"Don't Make Me Think, Revisited: A Common Sense Approach to Web Usability (3rd Edition) by Steve Krug (2014)",Paperback,216 p.; 7 inches,1.03 pounds,7 inches,8.9 inches,0.8 inches,7 x 0.8 x 8.9 inches,216,,,,,,,"bought for work, bought via CC","Your library, Read",English,English,TK5105 .K78,[9780321965516],"9780321965516, 0321965515",,6.7,Computing and Information > Information > Multimedia systems > Special Topics,,1,amazon.com all media,[2019-07-24],,,14525545,,,,
171220861,Rocket Surgery Made Easy: The Do-It-Yourself Guide to Finding and Fixing Usability Problems,1,"Krug, Steve",Author,,,"New Riders (2009), Edition: 1, 168 pages",2009,,,,,Rocket Surgery Made Easy: The Do-It-Yourself Guide to Finding and Fixing Usability Problems by Steve Krug (2009),Paperback,168 p.; 7 inches,0.81 pounds,7 inches,8.95 inches,0.75 inches,7 x 0.75 x 8.95 inches,168,,,,,,,"bought for work, bought via CC","Your library, Read",English,English,TK5105 .K785,[0321657292],"0321657292, 9780321657299",,6.7019,Computing and Information > Information > Multimedia systems > Special Topics,,1,amazon.com books,[2019-07-24],,,9314715,,,,
196154328,Good Strategy Bad Strategy: The Difference and Why It Matters,1,"Rumelt, Richard",Author,,,"Currency (2011), Edition: Illustrated, 336 pages",2011,,,,,Good Strategy Bad Strategy: The Difference and Why It Matters by Richard Rumelt (2011),Hardcover,9.53 inches,1.35 pounds,9.53 inches,0.97 inches,6.55 inches,9.53 x 6.55 x 0.97 inches,,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,HD30 .R854,[9780307886231],"9780307886231, 0307886239",,658.4012,"Executive > Management > Management and auxiliary services > Planning, control, strategy > Strategy > Technology and Application of Knowledge",,1,amazon.com books,[2021-02-05],,,10793507,,,,
197103542,The Four Steps to the Epiphany: Successful Strategies for Products that Win,5,"Blank, Steve",Author,,,"Wiley (2020), Edition: 1, 384 pages",2020,,,,,The Four Steps to the Epiphany: Successful Strategies for Products that Win by Steve Blank (2020),Hardcover,9.3 inches,,9.299194 inches,0.901573 inches,7.499985 inches,9.299194 x 7.499985 x 0.901573 inches,,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,HB615 .B6225,[1119690358],"1119690358, 9781119690351",,658.8,Management > Management and auxiliary services > Of Marketing > Technology and Application of Knowledge,,1,amazon.com books,[2021-02-28],,,1707437,,,,
197334571,Understanding Michael Porter: The Essential Guide to Competition and Strategy,1,"Magretta, Joan",Author,,,"Harvard Business Review Press (2011), Edition: 1, 256 pages",2011,,,,,Understanding Michael Porter: The Essential Guide to Competition and Strategy by Joan Magretta (2011),Hardcover,9.5 inches,,9.5 inches,1 inch,6.5 inches,9.5 x 6.5 x 1 inches,,,,,,,,"bought for work, bought via CCI","Your library, Unread",English,English,HD41 .P6776,[9781422160596],"9781422160596, 1422160599",,658.4,Executive > Management > Management and auxiliary services > Technology and Application of Knowledge,,1,amazon.com books,[2021-03-06],,,12058234,,,,
197726049,"Obviously Awesome: How to Nail Product Positioning so Customers Get It, Buy It, Love It",1,"Dunford, April",Author,,,"Ambient Press (2019), 202 pages",2019,,,,,"Obviously Awesome: How to Nail Product Positioning so Customers Get It, Buy It, Love It by April Dunford (2019)",Paperback,8.5 inches,,8.5 inches,0.51 inches,5.5 inches,8.5 x 5.5 x 0.51 inches,,,,,,,,"bought for work, bought via CCI","Your library, Read",English,English,,[1999023005],"1999023005, 9781999023003",,658.82,Management > Management and auxiliary services > Of Marketing > Technology and Application of Knowledge,,1,amazon.com books,[2021-03-15],,,23273510,,,,
